Model	Go	BreadCrumb	Month	2015	2016	2017	2018	2019
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	February 	125 	109 	47 	49 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	March 	321 	222 	162 	166 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	April 	215 	158 	93 	106 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	May 	195 	145 	83 	219 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	June 	176 	131 	96 	279 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	July 	149 	125 	62 	117 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	August 	96 	102 	47 	94 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	September 	183 	120 	72 	152 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	October 	88 	86 	74 	123 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	November 	88 	103 	101 	73 	(TD) 
i8	Go	Home» European Car Sales Data» BMW» BMW i8 	December 	116 	106 	67 	64 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	January 	3.150 	6.242 	11.869 	9.248 	8.110 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	February 	2.846 	6.236 	8.791 	8.661 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	March 	4.404 	9.687 	12.913 	13.809 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	April 	3.386 	7.795 	9.324 	8.382 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	May 	2.961 	7.879 	10.035 	9.623 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	June 	5.575 	8.818 	7.125 	12.287 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	July 	1.812 	7.555 	6.663 	7.580 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	August 	1.052 	6.653 	7.898 	6.107 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	September 	837 	7.825 	12.155 	8.489 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	October 	3.486 	8.252 	9.520 	9.043 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	November 	5.157 	9.194 	10.718 	9.215 	(TD) 
X1	Go	Home» European Car Sales Data» BMW» BMW X1	December 	7.441 	9.244 	11.040 	9.052 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	January 			(TD) 	509 	2.974 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	February 			(TD) 	905 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	March 			(TD) 	2.459 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	April 			(TD) 	2.263 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	May 			(TD) 	3.009 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	June 			(TD) 	4.271 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	July 			(TD) 	3.100 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	August 			(TD) 	3.173 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	September 			(TD) 	4.773 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	October 			10 	4.020 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	November 			211 	4.259 	(TD) 
X2	Go	Home» European Car Sales Data» BMW» BMW X2 	December 			24 	3.743 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	January 	4.082 	3.648 	2.916 	3.228 	7.874 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	February 	2.476 	2.762 	2.536 	2.922 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	March 	4.270 	5.294 	5.081 	3.759 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	April 	4.316 	3.746 	3.195 	4.436 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	May 	3.858 	3.951 	3.459 	5.392 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	June 	4.056 	4.990 	4.494 	7.000 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	July 	3.505 	3.645 	2.877 	5.294 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	August 	2.419 	2.627 	2.361 	4.450 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	September 	4.957 	5.375 	5.561 	7.630 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	October 	3.707 	3.817 	2.269 	6.285 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	November 	3.990 	3.749 	3.680 	6.979 	(TD) 
X3	Go	Home» European Car Sales Data» BMW» BMW X3 	December 	3.973 	3.851 	2.926 	6.106 	(TD) 
X4	Go		January 	2.301 	1.818 	1.863 	1.105 	2.211 
X4	Go		February 	1.519 	1.474 	1.565 	1.504 	(TD) 
X4	Go		March 	2.288 	2.576 	2.542 	2.198 	(TD) 
X4	Go		April 	2.331 	2.052 	1.775 	1.171 	(TD) 
X4	Go		May 	2.058 	2.329 	1.973 	797 	(TD) 
X4	Go		June 	2.263 	2.649 	2.309 	1.074 	(TD) 
X4	Go		July 	1.886 	1.910 	1.716 	1.571 	(TD) 
X4	Go		August 	1.336 	1.381 	1.259 	1.189 	(TD) 
X4	Go		September 	2.225 	2.608 	2.019 	1.674 	(TD) 
X4	Go		October 	1.837 	1.968 	1.521 	1.856 	(TD) 
X4	Go		November 	1.595 	2.109 	1.676 	2.090 	(TD) 
X4	Go		December 	1.741 	1.966 	1.663 	1.714 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	January 	2.856 	2.738 	3.100 	2.881 	2.751 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	February 	2.129 	2.281 	2.206 	1.835 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	March 	4.277 	4.292 	4.966 	4.015 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	April 	3.064 	3.208 	2.753 	2.326 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	May 	3.137 	3.012 	3.088 	2.722 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	June 	3.753 	3.994 	3.874 	4.862 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	July 	2.975 	2.837 	2.422 	1.926 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	August 	1.809 	1.607 	1.449 	1.789 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	September 	4.315 	4.211 	2.873 	2.401 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	October 	3.149 	2.887 	2.365 	1.292 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	November 	2.954 	2.866 	2.699 	2.249 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	December 	3.812 	3.164 	2.846 	2.292 	(TD) 
X5	Go	Home» European Car Sales Data» BMW» BMW X5 	"E53 2000-2007 
E70 2007-2013 
F15 2013-2018 BMW_X5-generations-auto-sales-statistics-Europe "					
X6	Go	Home» European Car Sales Data» BMW» BMW X6	January 	1.379 	1.039 	972 	944 	409 
X6	Go	Home» European Car Sales Data» BMW» BMW X6	February 	955 	771 	776 	542 	(TD) 
X6	Go	Home» European Car Sales Data» BMW» BMW X6	March 	1.393 	1.516 	1.362 	1.187 	(TD) 
X6	Go	Home» European Car Sales Data» BMW» BMW X6	April 	1.342 	1.031 	866 	808 	(TD) 
X6	Go	Home» European Car Sales Data» BMW» BMW X6	May 	1.195 	1.074 	913 	749 	(TD) 
X6	Go	Home» European Car Sales Data» BMW» BMW X6	June 	1.489 	1.286 	1.061 	1.190 	(TD) 
X6	Go	Home» European Car Sales Data» BMW» BMW X6	July 	1.162 	1.020 	803 	622 	(TD) 
X6	Go	Home» European Car Sales Data» BMW» BMW X6	August 	759 	580 	483 	554 	(TD) 
X6	Go	Home» European Car Sales Data» BMW» BMW X6	September 	1.309 	1.176 	854 	1.018 	(TD) 
X6	Go	Home» European Car Sales Data» BMW» BMW X6	October 	1.127 	959 	731 	728 	(TD) 
X6	Go	Home» European Car Sales Data» BMW» BMW X6	November 	912 	996 	829 	634 	(TD) 
